Date,CPIAUCSL
2018-09-12,252.3983333333333
2018-09-13,252.41799999999998
2018-09-14,252.43766666666664
2018-09-15,252.4573333333333
2018-09-16,252.47699999999998
2018-09-17,252.49666666666667
2018-09-18,252.51633333333334
2018-09-19,252.536
2018-09-20,252.55566666666667
2018-09-21,252.57533333333333
2018-09-22,252.595
2018-09-23,252.61466666666666
2018-09-24,252.63433333333333
2018-09-25,252.654
2018-09-26,252.67366666666666
2018-09-27,252.69333333333333
2018-09-28,252.713
2018-09-29,252.73266666666666
2018-09-30,252.75233333333333
2018-10-01,252.772
2018-10-02,252.7662580645161
2018-10-03,252.76051612903225
2018-10-04,252.75477419354837
2018-10-05,252.74903225806452
2018-10-06,252.74329032258063
2018-10-07,252.73754838709678
2018-10-08,252.7318064516129
2018-10-09,252.72606451612901
2018-10-10,252.72032258064516
2018-10-11,252.71458064516128
2018-10-12,252.70883870967742
2018-10-13,252.70309677419354
2018-10-14,252.69735483870966
2018-10-15,252.6916129032258
2018-10-16,252.68587096774192
2018-10-17,252.68012903225807
2018-10-18,252.67438709677418
2018-10-19,252.66864516129033
2018-10-20,252.66290322580645
2018-10-21,252.65716129032256
2018-10-22,252.6514193548387
2018-10-23,252.64567741935483
2018-10-24,252.63993548387097
2018-10-25,252.6341935483871
2018-10-26,252.6284516129032
2018-10-27,252.62270967741935
2018-10-28,252.61696774193547
2018-10-29,252.6112258064516
2018-10-30,252.60548387096773
2018-10-31,252.59974193548388
2018-11-01,252.594
2018-11-02,252.59976666666665
2018-11-03,252.60553333333334
2018-11-04,252.6113
2018-11-05,252.61706666666666
2018-11-06,252.62283333333332
2018-11-07,252.6286
2018-11-08,252.63436666666666
2018-11-09,252.64013333333332
2018-11-10,252.64589999999998
2018-11-11,252.65166666666667
2018-11-12,252.65743333333333
2018-11-13,252.6632
2018-11-14,252.66896666666665
2018-11-15,252.67473333333334
2018-11-16,252.6805
2018-11-17,252.68626666666665
2018-11-18,252.69203333333334
2018-11-19,252.6978
2018-11-20,252.70356666666666
2018-11-21,252.70933333333332
2018-11-22,252.7151
2018-11-23,252.72086666666667
2018-11-24,252.72663333333333
2018-11-25,252.73239999999998
2018-11-26,252.73816666666667
2018-11-27,252.74393333333333
2018-11-28,252.7497
2018-11-29,252.75546666666665
2018-11-30,252.76123333333334
2018-12-01,252.767
2018-12-02,252.76035483870967
2018-12-03,252.75370967741935
2018-12-04,252.74706451612903
2018-12-05,252.7404193548387
2018-12-06,252.73377419354838
2018-12-07,252.72712903225806
2018-12-08,252.72048387096774
2018-12-09,252.71383870967742
2018-12-10,252.7071935483871
2018-12-11,252.70054838709677
2018-12-12,252.69390322580645
2018-12-13,252.68725806451613
2018-12-14,252.6806129032258
2018-12-15,252.67396774193548
2018-12-16,252.66732258064516
2018-12-17,252.66067741935484
2018-12-18,252.65403225806452
2018-12-19,252.6473870967742
2018-12-20,252.64074193548387
2018-12-21,252.63409677419355
2018-12-22,252.62745161290323
2018-12-23,252.6208064516129
2018-12-24,252.61416129032258
2018-12-25,252.60751612903226
2018-12-26,252.60087096774194
2018-12-27,252.59422580645162
2018-12-28,252.5875806451613
2018-12-29,252.58093548387097
2018-12-30,252.57429032258065
2018-12-31,252.56764516129033
2019-01-01,252.561
2019-01-02,252.58545161290323
2019-01-03,252.60990322580645
2019-01-04,252.63435483870967
2019-01-05,252.65880645161292
2019-01-06,252.68325806451614
2019-01-07,252.70770967741936
2019-01-08,252.73216129032258
2019-01-09,252.7566129032258
2019-01-10,252.78106451612902
2019-01-11,252.80551612903227
2019-01-12,252.8299677419355
2019-01-13,252.8544193548387
2019-01-14,252.87887096774193
2019-01-15,252.90332258064515
2019-01-16,252.92777419354837
2019-01-17,252.95222580645162
2019-01-18,252.97667741935484
2019-01-19,253.00112903225806
2019-01-20,253.02558064516128
2019-01-21,253.0500322580645
2019-01-22,253.07448387096773
2019-01-23,253.09893548387097
2019-01-24,253.1233870967742
2019-01-25,253.14783870967742
2019-01-26,253.17229032258064
2019-01-27,253.19674193548386
2019-01-28,253.22119354838708
2019-01-29,253.24564516129033
2019-01-30,253.27009677419355
2019-01-31,253.29454838709677
2019-02-01,253.319
2019-02-02,253.35321428571427
2019-02-03,253.38742857142856
2019-02-04,253.42164285714284
2019-02-05,253.45585714285713
2019-02-06,253.4900714285714
2019-02-07,253.5242857142857
2019-02-08,253.55849999999998
2019-02-09,253.59271428571427
2019-02-10,253.62692857142855
2019-02-11,253.66114285714283
2019-02-12,253.69535714285712
2019-02-13,253.7295714285714
2019-02-14,253.7637857142857
2019-02-15,253.798
2019-02-16,253.8322142857143
2019-02-17,253.86642857142857
2019-02-18,253.90064285714286
2019-02-19,253.93485714285714
2019-02-20,253.96907142857143
2019-02-21,254.0032857142857
2019-02-22,254.0375
2019-02-23,254.07171428571428
2019-02-24,254.10592857142856
2019-02-25,254.14014285714285
2019-02-26,254.17435714285713
2019-02-27,254.20857142857142
2019-02-28,254.2427857142857
2019-03-01,254.277
2019-03-02,254.3078387096774
2019-03-03,254.33867741935484
2019-03-04,254.36951612903223
2019-03-05,254.40035483870966
2019-03-06,254.43119354838709
2019-03-07,254.4620322580645
2019-03-08,254.49287096774194
2019-03-09,254.52370967741933
2019-03-10,254.55454838709676
2019-03-11,254.58538709677418
2019-03-12,254.6162258064516
2019-03-13,254.64706451612903
2019-03-14,254.67790322580643
2019-03-15,254.70874193548386
2019-03-16,254.73958064516128
2019-03-17,254.7704193548387
2019-03-18,254.80125806451613
2019-03-19,254.83209677419356
2019-03-20,254.86293548387096
2019-03-21,254.89377419354838
2019-03-22,254.9246129032258
2019-03-23,254.95545161290323
2019-03-24,254.98629032258066
2019-03-25,255.01712903225805
2019-03-26,255.04796774193548
2019-03-27,255.0788064516129
2019-03-28,255.10964516129033
2019-03-29,255.14048387096776
2019-03-30,255.17132258064515
2019-03-31,255.20216129032258
2019-04-01,255.233
2019-04-02,255.23510000000002
2019-04-03,255.2372
2019-04-04,255.23930000000001
2019-04-05,255.2414
2019-04-06,255.2435
2019-04-07,255.2456
2019-04-08,255.2477
2019-04-09,255.2498
2019-04-10,255.2519
